archivo,resolucion,bytes,transparencia,pantalla_y_sitio,tamano_mostrado,original,prompt_exacto,sha256
imagenes/generated_images/exec-0e6c2c45-d10e-4810-9e43-17ce830af304.png,1536×1024,2122429,No (RGB opaco),"RETIRADA · guante A, no usar en VS · original",Antiguo:180×120px; no se muestra actualmente,,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,9957723a395a8fda9f77f40ff1b905f9e3bf83213638901061f1737d9f7e62f1
imagenes/generated_images/exec-1d0d2b4a-7a2d-4498-8412-fd7832001a6a.png,862×1824,1624293,No (RGB opaco),"Mockup VS dos columnas, propuesta histórica, no integrar como UI",No se integra este archivo directamente; usar derivado public/,,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,535dfbab05964f1e0eada9cdf6ed3dc954f19d1cb337db0b8950b5874dc488f8
imagenes/generated_images/exec-23ea9961-0683-4bed-8105-cb0d43634c77.png,1536×1024,1805294,No (RGB opaco),VS · cabeceras A/B y Ambos; veredicto y creación · fondos · original,Cabeceras:100% ×62px (49px compacto); Ambos:100% ×68px (58px compacto). Cover; no miniatura cuadrada. En paneles cover adaptable.,,"Create one landscape seamless-feeling background asset for a polished casual mobile game UI. Generic abstract 3D illustrated energy stage, glossy violet faceted planes and sweeping soft purple light rays, sparse glowing particles. Deep dark purple left half with generous quiet negative space for separately rendered interface text, subtle brighter violet lighting on right. Colorful saturated high-quality mobile videogame aesthetic, beveled surfaces, soft bloom. Background only, no focal object. NO gloves, hands, people, weapons, trophy, badge, text, letters, numbers, logos or UI. 1536x1024. Save generated asset for application integration.",69a1b93a03df3cf3716d9d9261934ef2227e7b0fd4a3ce5e12092251f91c23d7
imagenes/generated_images/exec-9ae6f8d8-50d9-4fb4-9879-baabcebbc807.png,863×1823,2373278,"Canal alfa conservado; rango (13, 253)","Mockup VS dos columnas, propuesta histórica, no integrar como UI",No se integra este archivo directamente; usar derivado public/,,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,41069c85c19d14558a7f824a40f012b29624ce01bff80148cd150b8644b3ecd8
imagenes/generated_images/exec-a0374508-e5b4-47dc-b1e3-615c79007b09.png,1254×1254,1711846,No (RGB opaco),"Inicio · tile Crear zanja, fondo amarillo · original",100% del tile; cover; centro 29%; dos columnas de ancho flexible,,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,588aeffd5fbe0b447071d41720ab9bba8c2683e51ea61f012eace01dc7e7a950
imagenes/generated_images/exec-a0501da7-dcd2-4ead-8f28-340ac693fbf6.png,1536×1024,2085162,No (RGB opaco),"RETIRADA · guantes A+B, no usar en VS · original",Antiguo:170×113px; no se muestra actualmente,,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,00a9625ade3c6a698692e7557dfc825b8973831d4b94bd55e966627e90084535
imagenes/generated_images/exec-aabd61c6-2b83-4320-8ed5-35ef9e805fbd.png,1536×1024,1953230,No (RGB opaco),"RETIRADA · guante B, no usar en VS · original",Antiguo:180×120px; no se muestra actualmente,,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,c3063552809c2b498fe41a334b71421af1dcfde28aa76f5aab9699169b0a7246
imagenes/generated_images/exec-ade0b277-a552-480d-b847-494f6e04482d.png,1536×1024,1927119,No (RGB opaco),"Inicio · imagen del Juzgado, bajo titular y encima del CTA · original","100% de .lobby-scene, alto flexible; object-fit:cover; centro 52%",,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,c69701d75b424ecaf02424610d3336a99531b5ab345332efbd6920da7c534387
imagenes/generated_images/exec-b30ffa0c-1b2a-4ec7-a132-fc07c481312d.png,863×1822,1601637,No (RGB opaco),"Mockup vertical de VS, propuesta histórica, no integrar como UI",No se integra este archivo directamente; usar derivado public/,,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,c4c9d7d7ad243dd3953ae4c73192877b9327ea133476c2bff6e7d0bc7803b092
imagenes/generated_images/exec-dd73715d-0f5b-49a0-a10c-156c276f8728.png,1254×1254,1776595,No (RGB opaco),Inicio · tile Mis zanjas · original,100% del tile; cover; centro 29%; dos columnas de ancho flexible,,No recuperado: no hay registro exacto disponible; no se ha reconstruido como si fuese original,164fb2fde267d135b25bd941b059f37258982c47641976a067fc479883b37e3d
